Country,Demographics Question,Demographics Response,Question,Survey Year,Value
4,Education,Primary,... for at least one specific reason,2015,12.0
4,Education,Secondary,... for at least one specific reason,2015,14.4
4,Education,Higher,... if she argues with him,2015,3.9
4,Education,No education,... if she argues with him,2015,16.1
4,Education,Primary,... if she argues with him,2015,5.3
4,Education,Secondary,... if she argues with him,2015,9.2
4,Education,Higher,... if she goes out without telling him,2015,2.7
4,Education,No education,... if she goes out without telling him,2015,16.1
4,Education,Primary,... if she goes out without telling him,2015,5.4
4,Education,Secondary,... if she goes out without telling him,2015,8.7
4,Education,Higher,... if she neglects the children,2015,5.5
4,Education,No education,... if she neglects the children,2015,16.1
4,Education,Primary,... if she neglects the children,2015,9.4
4,Education,Secondary,... if she neglects the children,2015,12.6
4,Education,Higher,... if she refuses to have sex with him,2015,0.3
4,Education,No education,... if she refuses to have sex with him,2015,16.1
4,Education,Primary,... if she refuses to have sex with him,2015,1.5
4,Education,Secondary,... if she refuses to have sex with him,2015,1.2
5,Education,Higher,... if she burns the food,2006,1.5
5,Education,Secondary,... if she burns the food,2006,13.3
5,Education,Primary,... if she burns the food,2006,25.5
5,Education,No education,... if she burns the food,2006,33.0
5,Education,Higher,... for at least one specific reason,2006,22.5
5,Education,No education,... for at least one specific reason,2006,74.3
5,Education,Primary,... for at least one specific reason,2006,63.1
5,Education,Secondary,... for at least one specific reason,2006,52.5
5,Education,Higher,... if she argues with him,2006,11.2
5,Education,No education,... if she argues with him,2006,55.2
5,Education,Primary,... if she argues with him,2006,43.6
5,Education,Secondary,... if she argues with him,2006,33.9
5,Education,Higher,... if she goes out without telling him,2006,17.2
5,Education,No education,... if she goes out without telling him,2006,68.5
5,Education,Primary,... if she goes out without telling him,2006,58.3
5,Education,Secondary,... if she goes out without telling him,2006,45.8
5,Education,Higher,... if she neglects the children,2006,11.6
5,Education,No education,... if she neglects the children,2006,64.7
5,Education,Primary,... if she neglects the children,2006,47.6
5,Education,Secondary,... if she neglects the children,2006,37.6
5,Education,Higher,... if she refuses to have sex with him,2006,2.8
5,Education,No education,... if she refuses to have sex with him,2006,37.4
5,Education,Primary,... if she refuses to have sex with him,2006,26.0
5,Education,Secondary,... if she refuses to have sex with him,2006,15.5
6,Education,Higher,... if she burns the food,2014,0.8
6,Education,Secondary,... if she burns the food,2014,2.7
6,Education,Primary,... if she burns the food,2014,5.4
6,Education,No education,... if she burns the food,2014,6.8
6,Education,Higher,... for at least one specific reason,2014,13.4
6,Education,No education,... for at least one specific reason,2014,33.0
6,Education,Primary,... for at least one specific reason,2014,31.7
6,Education,Secondary,... for at least one specific reason,2014,25.8
6,Education,Higher,... if she argues with him,2014,7.4
6,Education,No education,... if she argues with him,2014,24.4
6,Education,Primary,... if she argues with him,2014,22.3
6,Education,Secondary,... if she argues with him,2014,17.9
6,Education,Higher,... if she goes out without telling him,2014,6.2
6,Education,No education,... if she goes out without telling him,2014,17.5
6,Education,Primary,... if she goes out without telling him,2014,17.3
6,Education,Secondary,... if she goes out without telling him,2014,12.0
6,Education,Higher,... if she neglects the children,2014,7.3
6,Education,No education,... if she neglects the children,2014,16.9
6,Education,Primary,... if she neglects the children,2014,17.2
6,Education,Secondary,... if she neglects the children,2014,13.5
6,Education,Higher,... if she refuses to have sex with him,2014,1.7
6,Education,No education,... if she refuses to have sex with him,2014,10.2
6,Education,Primary,... if she refuses to have sex with him,2014,8.9
6,Education,Secondary,... if she refuses to have sex with him,2014,5.1
7,Education,Higher,... if she burns the food,2017,1.0
7,Education,Secondary,... if she burns the food,2017,9.5
7,Education,Primary,... if she burns the food,2017,13.0
7,Education,No education,... if she burns the food,2017,16.5
7,Education,Higher,... for at least one specific reason,2017,4.7
7,Education,No education,... for at least one specific reason,2017,37.3
7,Education,Primary,... for at least one specific reason,2017,29.4
7,Education,Secondary,... for at least one specific reason,2017,23.2
7,Education,Higher,... if she argues with him,2017,3.0
7,Education,No education,... if she argues with him,2017,25.9
7,Education,Primary,... if she argues with him,2017,17.2
7,Education,Secondary,... if she argues with him,2017,13.4
7,Education,Higher,... if she goes out without telling him,2017,2.4
7,Education,No education,... if she goes out without telling him,2017,26.5
7,Education,Primary,... if she goes out without telling him,2017,17.8
7,Education,Secondary,... if she goes out without telling him,2017,13.2
7,Education,Higher,... if she neglects the children,2017,2.8
7,Education,No education,... if she neglects the children,2017,27.2
7,Education,Primary,... if she neglects the children,2017,19.6
7,Education,Secondary,... if she neglects the children,2017,16.0
7,Education,Higher,... if she refuses to have sex with him,2017,1.4
7,Education,No education,... if she refuses to have sex with him,2017,16.5
7,Education,Primary,... if she refuses to have sex with him,2017,10.6
7,Education,Secondary,... if she refuses to have sex with him,2017,6.5
8,Education,Higher,... if she burns the food,2008,0.6
8,Education,Secondary,... if she burns the food,2008,2.8
8,Education,Primary,... if she burns the food,2008,4.4
8,Education,No education,... if she burns the food,2008,7.3
8,Education,Higher,... for at least one specific reason,2008,5.7
8,Education,No education,... for at least one specific reason,2008,23.4
8,Education,Primary,... for at least one specific reason,2008,20.3
8,Education,Secondary,... for at least one specific reason,2008,15.3
8,Education,Higher,... if she argues with him,2008,1.7
8,Education,No education,... if she argues with him,2008,9.3
8,Education,Primary,... if she argues with him,2008,6.8
8,Education,Secondary,... if she argues with him,2008,4.6
8,Education,Higher,... if she goes out without telling him,2008,1.9
8,Education,No education,... if she goes out without telling him,2008,12.0
8,Education,Primary,... if she goes out without telling him,2008,8.2
8,Education,Secondary,... if she goes out without telling him,2008,4.6
8,Education,Higher,... if she neglects the children,2008,4.5
8,Education,No education,... if she neglects the children,2008,15.9
8,Education,Primary,... if she neglects the children,2008,15.2
8,Education,Secondary,... if she neglects the children,2008,12.2
8,Education,Higher,... if she refuses to have sex with him,2008,0.8
8,Education,No education,... if she refuses to have sex with him,2008,4.6
8,Education,Primary,... if she refuses to have sex with him,2008,3.2
8,Education,Secondary,... if she refuses to have sex with him,2008,1.6
9,Education,Higher,... if she burns the food,2010,1.4
9,Education,Secondary,... if she burns the food,2010,3.1
9,Education,Primary,... if she burns the food,2010,8.1
9,Education,No education,... if she burns the food,2010,11.2
9,Education,Higher,... for at least one specific reason,2010,6.3
9,Education,No education,... for at least one specific reason,2010,47.5
9,Education,Primary,... for at least one specific reason,2010,38.1
9,Education,Secondary,... for at least one specific reason,2010,26.6
9,Education,Higher,... if she argues with him,2010,2.0
9,Education,No education,... if she argues with him,2010,34.7
9,Education,Primary,... if she argues with him,2010,26.0
9,Education,Secondary,... if she argues with him,2010,14.1
9,Education,Higher,... if she goes out without telling him,2010,0.3
9,Education,No education,... if she goes out without telling him,2010,34.4
9,Education,Primary,... if she goes out without telling him,2010,24.6
9,Education,Secondary,... if she goes out without telling him,2010,13.1
9,Education,Higher,... if she neglects the children,2010,3.8
9,Education,No education,... if she neglects the children,2010,33.4
9,Education,Primary,... if she neglects the children,2010,26.5
9,Education,Secondary,... if she neglects the children,2010,18.1
9,Education,Higher,... if she refuses to have sex with him,2010,0.0
9,Education,No education,... if she refuses to have sex with him,2010,22.7
9,Education,Primary,... if she refuses to have sex with him,2010,15.2
9,Education,Secondary,... if she refuses to have sex with him,2010,6.8
10,Education,Higher,... if she burns the food,2016,1.1
10,Education,Secondary,... if she burns the food,2016,14.8
10,Education,Primary,... if she burns the food,2016,23.9
10,Education,No education,... if she burns the food,2016,25.3
10,Education,Higher,... for at least one specific reason,2016,22.2
10,Education,No education,... for at least one specific reason,2016,65.9
10,Education,Primary,... for at least one specific reason,2016,63.9
10,Education,Secondary,... for at least one specific reason,2016,53.9
10,Education,Higher,... if she argues with him,2016,1.3
10,Education,No education,... if she argues with him,2016,34.8
10,Education,Primary,... if she argues with him,2016,32.3
10,Education,Secondary,... if she argues with him,2016,20.8
10,Education,Higher,... if she goes out without telling him,2016,8.7
10,Education,No education,... if she goes out without telling him,2016,43.6
10,Education,Primary,... if she goes out without telling him,2016,40.9
10,Education,Secondary,... if she goes out without telling him,2016,31.3
10,Education,Higher,... if she neglects the children,2016,20.0
10,Education,No education,... if she neglects the children,2016,55.1
10,Education,Primary,... if she neglects the children,2016,53.7
10,Education,Secondary,... if she neglects the children,2016,45.0
10,Education,Higher,... if she refuses to have sex with him,2016,8.2
10,Education,No education,... if she refuses to have sex with him,2016,47.9
10,Education,Primary,... if she refuses to have sex with him,2016,44.3
10,Education,Secondary,... if she refuses to have sex with him,2016,29.9
11,Education,Higher,... if she burns the food,2014,1.1
11,Education,Secondary,... if she burns the food,2014,7.5
11,Education,Primary,... if she burns the food,2014,14.4
11,Education,No education,... if she burns the food,2014,17.6
11,Education,Higher,... for at least one specific reason,2014,18.5
11,Education,No education,... for at least one specific reason,2014,57.6
11,Education,Primary,... for at least one specific reason,2014,56.0
11,Education,Secondary,... for at least one specific reason,2014,42.8
11,Education,Higher,... if she argues with him,2014,6.2
11,Education,No education,... if she argues with him,2014,31.5
11,Education,Primary,... if she argues with him,2014,27.7
11,Education,Secondary,... if she argues with him,2014,18.4
11,Education,Higher,... if she goes out without telling him,2014,7.6
11,Education,No education,... if she goes out without telling him,2014,38.0
11,Education,Primary,... if she goes out without telling him,2014,36.6
11,Education,Secondary,... if she goes out without telling him,2014,24.9
11,Education,Higher,... if she neglects the children,2014,15.5
11,Education,No education,... if she neglects the children,2014,50.3
11,Education,Primary,... if she neglects the children,2014,49.4
11,Education,Secondary,... if she neglects the children,2014,37.4
11,Education,Higher,... if she refuses to have sex with him,2014,0.8
11,Education,No education,... if she refuses to have sex with him,2014,20.1
11,Education,Primary,... if she refuses to have sex with him,2014,15.5
11,Education,Secondary,... if she refuses to have sex with him,2014,8.0
12,Education,Higher,... if she burns the food,2011,0.9
12,Education,Secondary,... if she burns the food,2011,9.8
12,Education,Primary,... if she burns the food,2011,15.9
12,Education,No education,... if she burns the food,2011,20.9
12,Education,Higher,... for at least one specific reason,2011,13.7
12,Education,No education,... for at least one specific reason,2011,49.6
12,Education,Primary,... for at least one specific reason,2011,51.6
12,Education,Secondary,... for at least one specific reason,2011,45.1
12,Education,Higher,... if she argues with him,2011,3.2
12,Education,No education,... if she argues with him,2011,31.4
12,Education,Primary,... if she argues with him,2011,24.4
12,Education,Secondary,... if she argues with him,2011,14.9
12,Education,Higher,... if she goes out without telling him,2011,2.8
12,Education,No education,... if she goes out without telling him,2011,31.6
12,Education,Primary,... if she goes out without telling him,2011,32.9
12,Education,Secondary,... if she goes out without telling him,2011,21.9
12,Education,Higher,... if she neglects the children,2011,11.4
12,Education,No education,... if she neglects the children,2011,35.9
12,Education,Primary,... if she neglects the children,2011,41.9
12,Education,Secondary,... if she neglects the children,2011,37.9
12,Education,Higher,... if she refuses to have sex with him,2011,1.3
12,Education,No education,... if she refuses to have sex with him,2011,25.6
12,Education,Primary,... if she refuses to have sex with him,2011,17.2
12,Education,Secondary,... if she refuses to have sex with him,2011,7.5
13,Education,Higher,... if she burns the food,2014,24.4
13,Education,No education,... if she burns the food,2014,45.4
13,Education,Secondary,... if she burns the food,2014,51.9
13,Education,Primary,... if she burns the food,2014,56.2
13,Education,Higher,... for at least one specific reason,2014,60.1
13,Education,No education,... for at least one specific reason,2014,70.9
13,Education,Primary,... for at least one specific reason,2014,79.5
13,Education,Secondary,... for at least one specific reason,2014,76.7
13,Education,Higher,... if she argues with him,2014,38.8
13,Education,No education,... if she argues with him,2014,47.6
13,Education,Primary,... if she argues with him,2014,55.1
13,Education,Secondary,... if she argues with him,2014,51.8
13,Education,Higher,... if she goes out without telling him,2014,37.1
13,Education,No education,... if she goes out without telling him,2014,56.3
13,Education,Primary,... if she goes out without telling him,2014,66.5
13,Education,Secondary,... if she goes out without telling him,2014,60.3
13,Education,Higher,... if she neglects the children,2014,43.1
13,Education,No education,... if she neglects the children,2014,56.7
13,Education,Primary,... if she neglects the children,2014,66.3
13,Education,Secondary,... if she neglects the children,2014,64.0
13,Education,Higher,... if she refuses to have sex with him,2014,21.8
13,Education,No education,... if she refuses to have sex with him,2014,41.5
13,Education,Primary,... if she refuses to have sex with him,2014,43.2
13,Education,Secondary,... if she refuses to have sex with him,2014,33.6
14,Education,Higher,... if she burns the food,2015,0.8
14,Education,Secondary,... if she burns the food,2015,1.2
14,Education,Primary,... if she burns the food,2015,1.7
14,Education,No education,... if she burns the food,2015,1.8
14,Education,Higher,... for at least one specific reason,2015,1.6
14,Education,No education,... for at least one specific reason,2015,12.7
14,Education,Primary,... for at least one specific reason,2015,5.7
14,Education,Secondary,... for at least one specific reason,2015,3.1
14,Education,Higher,... if she argues with him,2015,0.9
14,Education,No education,... if she argues with him,2015,3.6
14,Education,Primary,... if she argues with him,2015,1.8
14,Education,Secondary,... if she argues with him,2015,1.3
14,Education,Higher,... if she goes out without telling him,2015,0.8
14,Education,No education,... if she goes out without telling him,2015,5.8
14,Education,Primary,... if she goes out without telling him,2015,1.8
14,Education,Secondary,... if she goes out without telling him,2015,1.3
14,Education,Higher,... if she neglects the children,2015,1.2
14,Education,No education,... if she neglects the children,2015,9.8
14,Education,Primary,... if she neglects the children,2015,4.4
14,Education,Secondary,... if she neglects the children,2015,2.5
14,Education,Higher,... if she refuses to have sex with him,2015,0.9
14,Education,No education,... if she refuses to have sex with him,2015,2.9
14,Education,Primary,... if she refuses to have sex with him,2015,1.4
14,Education,Secondary,... if she refuses to have sex with him,2015,1.1
15,Education,Higher,... if she burns the food,2012,6.7
15,Education,Secondary,... if she burns the food,2012,11.6
15,Education,Primary,... if she burns the food,2012,13.7
15,Education,No education,... if she burns the food,2012,15.3
15,Education,Higher,... for at least one specific reason,2012,23.7
15,Education,No education,... for at least one specific reason,2012,39.7
15,Education,Primary,... for at least one specific reason,2012,41.8
15,Education,Secondary,... for at least one specific reason,2012,40.7
15,Education,Higher,... if she argues with him,2012,6.9
15,Education,No education,... if she argues with him,2012,18.1
15,Education,Primary,... if she argues with him,2012,15.3
15,Education,Secondary,... if she argues with him,2012,16.1
15,Education,Higher,... if she goes out without telling him,2012,16.1
15,Education,No education,... if she goes out without telling him,2012,29.1
15,Education,Primary,... if she goes out without telling him,2012,32.5
15,Education,Secondary,... if she goes out without telling him,2012,28.7
15,Education,Higher,... if she neglects the children,2012,17.6
15,Education,No education,... if she neglects the children,2012,29.6
15,Education,Primary,... if she neglects the children,2012,33.1
15,Education,Secondary,... if she neglects the children,2012,31.2
15,Education,Higher,... if she refuses to have sex with him,2012,12.9
15,Education,No education,... if she refuses to have sex with him,2012,22.7
15,Education,Primary,... if she refuses to have sex with him,2012,22.7
15,Education,Secondary,... if she refuses to have sex with him,2012,18.3
16,Education,Higher,... if she burns the food,2011,16.1
16,Education,No education,... if she burns the food,2011,16.1
16,Education,Primary,... if she burns the food,2011,16.1
16,Education,Secondary,... if she burns the food,2011,16.1
16,Education,Higher,... for at least one specific reason,2011,48.5
16,Education,No education,... for at least one specific reason,2011,59.5
16,Education,Primary,... for at least one specific reason,2011,61.2
16,Education,Secondary,... for at least one specific reason,2011,61.5
16,Education,Higher,... if she argues with him,2011,16.1
16,Education,No education,... if she argues with him,2011,16.1
16,Education,Primary,... if she argues with him,2011,16.1
16,Education,Secondary,... if she argues with him,2011,16.1
16,Education,Higher,... if she goes out without telling him,2011,22.5
16,Education,No education,... if she goes out without telling him,2011,41.2
16,Education,Primary,... if she goes out without telling him,2011,44.1
16,Education,Secondary,... if she goes out without telling him,2011,41.1
16,Education,Higher,... if she neglects the children,2011,38.3
16,Education,No education,... if she neglects the children,2011,44.2
16,Education,Primary,... if she neglects the children,2011,47.6
16,Education,Secondary,... if she neglects the children,2011,47.4
16,Education,Higher,... if she refuses to have sex with him,2011,14.4
16,Education,No education,... if she refuses to have sex with him,2011,35.1
16,Education,Primary,... if she refuses to have sex with him,2011,31.4
16,Education,Secondary,... if she refuses to have sex with him,2011,24.6
17,Education,Higher,... if she burns the food,2013,6.1
17,Education,Secondary,... if she burns the food,2013,22.5
17,Education,No education,... if she burns the food,2013,24.1
17,Education,Primary,... if she burns the food,2013,28.5
17,Education,Higher,... for at least one specific reason,2013,49.8
17,Education,No education,... for at least one specific reason,2013,75.4
17,Education,Primary,... for at least one specific reason,2013,76.2
17,Education,Secondary,... for at least one specific reason,2013,75.4
17,Education,Higher,... if she argues with him,2013,33.1
17,Education,No education,... if she argues with him,2013,58.7
17,Education,Primary,... if she argues with him,2013,59.7
17,Education,Secondary,... if she argues with him,2013,57.6
17,Education,Higher,... if she goes out without telling him,2013,22.6
17,Education,No education,... if she goes out without telling him,2013,49.7
17,Education,Primary,... if she goes out without telling him,2013,51.8
17,Education,Secondary,... if she goes out without telling him,2013,48.8
17,Education,Higher,... if she neglects the children,2013,33.3
17,Education,No education,... if she neglects the children,2013,50.2
17,Education,Primary,... if she neglects the children,2013,51.6
17,Education,Secondary,... if she neglects the children,2013,53.2
17,Education,Higher,... if she refuses to have sex with him,2013,18.4
17,Education,No education,... if she refuses to have sex with him,2013,50.7
17,Education,Primary,... if she refuses to have sex with him,2013,49.3
17,Education,Secondary,... if she refuses to have sex with him,2013,38.1
18,Education,Higher,... if she burns the food,2011,2.3
18,Education,Secondary,... if she burns the food,2011,9.8
18,Education,Primary,... if she burns the food,2011,17.9
18,Education,No education,... if she burns the food,2011,18.7
18,Education,Higher,... for at least one specific reason,2011,17.8
18,Education,No education,... for at least one specific reason,2011,51.3
18,Education,Primary,... for at least one specific reason,2011,50.1
18,Education,Secondary,... for at least one specific reason,2011,39.5
18,Education,Higher,... if she argues with him,2011,7.2
18,Education,No education,... if she argues with him,2011,38.9
18,Education,Primary,... if she argues with him,2011,34.7
18,Education,Secondary,... if she argues with him,2011,24.6
18,Education,Higher,... if she goes out without telling him,2011,2.7
18,Education,No education,... if she goes out without telling him,2011,32.0
18,Education,Primary,... if she goes out without telling him,2011,26.9
18,Education,Secondary,... if she goes out without telling him,2011,14.0
18,Education,Higher,... if she neglects the children,2011,8.8
18,Education,No education,... if she neglects the children,2011,36.3
18,Education,Primary,... if she neglects the children,2011,32.6
18,Education,Secondary,... if she neglects the children,2011,26.2
18,Education,Higher,... if she refuses to have sex with him,2011,2.9
18,Education,No education,... if she refuses to have sex with him,2011,28.3
18,Education,Primary,... if she refuses to have sex with him,2011,18.2
18,Education,Secondary,... if she refuses to have sex with him,2011,9.3
19,Education,Higher,... if she burns the food,2013,0.0
19,Education,Secondary,... if she burns the food,2013,0.5
19,Education,Primary,... if she burns the food,2013,1.3
19,Education,No education,... if she burns the food,2013,1.9
19,Education,Higher,... for at least one specific reason,2013,0.5
19,Education,No education,... for at least one specific reason,2013,3.9
19,Education,Primary,... for at least one specific reason,2013,4.4
19,Education,Secondary,... for at least one specific reason,2013,2.0
19,Education,Higher,... if she argues with him,2013,0.2
19,Education,No education,... if she argues with him,2013,3.3
19,Education,Primary,... if she argues with him,2013,1.2
19,Education,Secondary,... if she argues with him,2013,0.5
19,Education,Higher,... if she goes out without telling him,2013,0.2
19,Education,No education,... if she goes out without telling him,2013,1.9
19,Education,Primary,... if she goes out without telling him,2013,1.5
19,Education,Secondary,... if she goes out without telling him,2013,0.7
19,Education,Higher,... if she neglects the children,2013,0.3
19,Education,No education,... if she neglects the children,2013,2.5
19,Education,Primary,... if she neglects the children,2013,3.3
19,Education,Secondary,... if she neglects the children,2013,1.5
19,Education,Higher,... if she refuses to have sex with him,2013,0.2
19,Education,No education,... if she refuses to have sex with him,2013,2.1
19,Education,Primary,... if she refuses to have sex with him,2013,0.6
19,Education,Secondary,... if she refuses to have sex with him,2013,0.3
20,Education,Higher,... if she burns the food,2014,1.1
20,Education,Secondary,... if she burns the food,2014,4.9
20,Education,Primary,... if she burns the food,2014,10.9
20,Education,No education,... if she burns the food,2014,13.1
20,Education,Higher,... for at least one specific reason,2014,13.3
20,Education,No education,... for at least one specific reason,2014,53.1
20,Education,Primary,... for at least one specific reason,2014,47.2
20,Education,Secondary,... for at least one specific reason,2014,31.3
20,Education,Higher,... if she argues with him,2014,2.5
20,Education,No education,... if she argues with him,2014,23.4
20,Education,Primary,... if she argues with him,2014,20.4
20,Education,Secondary,... if she argues with him,2014,9.0
20,Education,Higher,... if she goes out without telling him,2014,6.5
20,Education,No education,... if she goes out without telling him,2014,41.8
20,Education,Primary,... if she goes out without telling him,2014,36.7
20,Education,Secondary,... if she goes out without telling him,2014,20.9
20,Education,Higher,... if she neglects the children,2014,6.0
20,Education,No education,... if she neglects the children,2014,38.6
20,Education,Primary,... if she neglects the children,2014,34.8
20,Education,Secondary,... if she neglects the children,2014,20.2
20,Education,Higher,... if she refuses to have sex with him,2014,6.7
20,Education,No education,... if she refuses to have sex with him,2014,33.4
20,Education,Primary,... if she refuses to have sex with him,2014,28.6
20,Education,Secondary,... if she refuses to have sex with him,2014,15.4
21,Education,Higher,... if she burns the food,2002,5.1
21,Education,Secondary,... if she burns the food,2002,15.7
21,Education,Primary,... if she burns the food,2002,31.0
21,Education,No education,... if she burns the food,2002,33.8
21,Education,Higher,... for at least one specific reason,2002,32.1
21,Education,No education,... for at least one specific reason,2002,77.5
21,Education,Primary,... for at least one specific reason,2002,73.9
21,Education,Secondary,... for at least one specific reason,2002,50.3
21,Education,Higher,... if she argues with him,2002,9.8
21,Education,No education,... if she argues with him,2002,55.1
21,Education,Primary,... if she argues with him,2002,43.3
21,Education,Secondary,... if she argues with him,2002,20.9
21,Education,Higher,... if she goes out without telling him,2002,9.3
21,Education,No education,... if she goes out without telling him,2002,61.5
21,Education,Primary,... if she goes out without telling him,2002,52.8
21,Education,Secondary,... if she goes out without telling him,2002,26.8
21,Education,Higher,... if she neglects the children,2002,18.8
21,Education,No education,... if she neglects the children,2002,55.2
21,Education,Primary,... if she neglects the children,2002,54.7
21,Education,Secondary,... if she neglects the children,2002,36.3
21,Education,Higher,... if she refuses to have sex with him,2002,9.0
21,Education,No education,... if she refuses to have sex with him,2002,58.3
21,Education,Primary,... if she refuses to have sex with him,2002,47.3
21,Education,Secondary,... if she refuses to have sex with him,2002,23.8
22,Education,Higher,... if she burns the food,2006,0.2
22,Education,Secondary,... if she burns the food,2006,1.4
22,Education,Primary,... if she burns the food,2006,5.2
22,Education,No education,... if she burns the food,2006,5.3
22,Education,Higher,... for at least one specific reason,2006,3.9
22,Education,No education,... for at least one specific reason,2006,30.1
22,Education,Primary,... for at least one specific reason,2006,31.4
22,Education,Secondary,... for at least one specific reason,2006,19.7
22,Education,Higher,... if she argues with him,2006,2.1
22,Education,No education,... if she argues with him,2006,23.9
22,Education,Primary,... if she argues with him,2006,23.9
22,Education,Secondary,... if she argues with him,2006,13.8
22,Education,Higher,... if she goes out without telling him,2006,1.2
22,Education,No education,... if she goes out without telling him,2006,11.8
22,Education,Primary,... if she goes out without telling him,2006,13.9
22,Education,Secondary,... if she goes out without telling him,2006,7.1
22,Education,Higher,... if she neglects the children,2006,1.4
22,Education,No education,... if she neglects the children,2006,12.2
22,Education,Primary,... if she neglects the children,2006,14.9
22,Education,Secondary,... if she neglects the children,2006,10.0
22,Education,Higher,... if she refuses to have sex with him,2006,0.3
22,Education,No education,... if she refuses to have sex with him,2006,7.6
22,Education,Primary,... if she refuses to have sex with him,2006,5.8
22,Education,Secondary,... if she refuses to have sex with him,2006,1.5
23,Education,Higher,... if she burns the food,2016,6.4
23,Education,Secondary,... if she burns the food,2016,17.7
23,Education,Primary,... if she burns the food,2016,39.4
23,Education,No education,... if she burns the food,2016,49.3
23,Education,Higher,... for at least one specific reason,2016,26.1
23,Education,No education,... for at least one specific reason,2016,71.9
23,Education,Primary,... for at least one specific reason,2016,63.7
23,Education,Secondary,... for at least one specific reason,2016,41.9
23,Education,Higher,... if she argues with him,2016,9.6
23,Education,No education,... if she argues with him,2016,50.9
23,Education,Primary,... if she argues with him,2016,42.3
23,Education,Secondary,... if she argues with him,2016,21.4
